DSP_project,Soil,Site_Field_ID,PedonID,trt,Label_full,Label,Internal,Internal label,internal Plot,DSP_Pedon,Pedon_Num,DSP_Plot_ID,DSP_Pedon_ID,layer_no,hzdesg,hrzdep_t,hrzdep_b,LayerID,DSP_sample_ID,Sand%,Silt%,Clay%,Texture,Bulk_Density,alt_BD,Water_Content,SOC_pct,TN_pct,KSSL_WSA,ARS_AggStab_MWD,ARS_AggStab_TotalWS,ARS_WS_2-8,ARS_WS_.5-2,ARS_WS_250-250,ARS_WS_53-250,EC,pH,Soil_Respiration,Bglucosidase,Bglucosaminidase,Alkaline Phosphatase,Acid Phosphatase,Phosphodiesterase,Arylsulfatase,POX_C,ACE,WEOC (mg/kg),WEON (mg/kg), KSSL_LabSampleNo,PLFA_ID
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-101-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 101,X,X,S2018KS153101,1,KeCF3,KeCF3 - 1,1,Ap1,0,5,KeCF3 - 101-1,KeCF3 - 1-1,,,,,1.298786803,1.298786803,0.23,1.89,,4,0.339342687,,,,,,,,0.995113817,183.1410914,83.86781345,94.37098511,361.5211518,36.72089609,,530.4245249,5098.742295,,,196935,KS-153-SW-101-1-0_5-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-101-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 101,X,X,S2018KS153101,1,KeCF3,KeCF3 - 1,2,Ap1,5,10,KeCF3 - 101-2,KeCF3 - 1-2,,,,,1.347896905,1.347896905,0.18,1.05,,1.833333333,0.271863927,,,,,,,,0.835345497,42.45556901,24.95279199,27.90919701,190.5578139,18.32827575,,260.5444967,3306.533768,,,196936,KS-153-SW-101-2-5_10-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-101-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 101,X,X,S2018KS153101,1,KeCF3,KeCF3 - 1,3,Ap2,10,23,KeCF3 - 101-3,KeCF3 - 1-3,,,,,1.394038814,1.394038814,0.197619048,0.89,,3.166666667,0.3864885,,,,,,,,0.772198916,36.53035196,26.24792322,84.9517055,163.6690978,51.48724809,,155.7397509,1857.299906,,,196937,KS-153-SW-101-3-10_23-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-101-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 101,X,X,S2018KS153101,1,KeCF3,KeCF3 - 1,4,Bt1,23,40,KeCF3 - 101-4,KeCF3 - 1-4,,,,,1.358523671,1.358523671,0.186761229,0.72,,9,0.357126952,,,,,,,,0.798660064,19.96335953,26.39477037,148.0259716,77.07302779,130.4705425,,121.0734411,1066.632078,,,196938,KS-153-SW-101-4-23_40-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-101-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 101,X,X,S2018KS153101,1,KeCF3,KeCF3 - 1,5,Bt2,40,57,KeCF3 - 101-5,KeCF3 - 1-5,,,,,1.30281053,1.30281053,0.174825175,0.58,,17.16666667,0.442720629,,,,,,,,0.845929059,17.96953464,14.37690971,126.4799054,53.32120638,92.19875987,,85.34827197,985.3843784,,,196939,KS-153-SW-101-5-40_57-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-101-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 101,X,X,S2018KS153101,1,KeCF3,KeCF3 - 1,6,Btk1,57,74,KeCF3 - 101-6,KeCF3 - 1-6,,,,,1.370904369,1.370904369,0.185273159,0.48,,7.5,0.339082894,,,,,,,,0.944392481,12.28485092,4.82685662,74.08759553,38.53914887,64.67837948,,47.60002778,970.3164266,,,196940,KS-153-SW-101-6-57_74-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-101-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 101,X,X,S2018KS153101,1,KeCF3,KeCF3 - 1,7,Btk2,74,100,KeCF3 - 101-7,KeCF3 - 1-7,,,,,1.017617978,1.017617978,0.145785877,0.44,,2.333333333,0.268639594,,,,,,,,1.004166536,10.24552076,3.365504235,67.64759085,33.03933695,57.15805188,,39.40372321,630.6179301,,,196941,KS-153-SW-101-7-74_100-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-102-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 102,X,X,S2018KS153102,2,KeCF3,KeCF3 - 2,1,Ap1,0,5,KeCF3 - 102-1,KeCF3 - 2-1,,,,,0.859426784,0.859426784,0.22,1.65,,7.5,0.289718643,,,,,,,,1.018056112,160.5537485,79.3393106,58.14359576,343.9442947,26.39045584,.,437.8208059,4941.806525,,,196942,KS-153-SW-102-1-0_5-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-102-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 102,X,X,S2018KS153102,2,KeCF3,KeCF3 - 2,2,Ap1,5,10,KeCF3 - 102-2,KeCF3 - 2-2,,,,,1.422439024,1.422439024,0.22,1.01,,3,0.256502747,,,,,,,,0.97639459,55.62581285,30.54198416,33.86268898,211.5965788,6.418323232,.,258.9569196,3096.102026,,,196943,KS-153-SW-102-2-5_10-2018
KansasState,Keith,S2018KS_Ke - 1,KS-153-SW-102-1-0_5-2018,No-till - diverse rotation,SHM - no-till,SHM,KeCF3 - 102,X,X,S2018KS153102,2,KeCF3,KeCF3 - 2,3,Ap2,10,21,KeCF3 - 102-3,KeCF3 - 2-3,,,,,1.393180246,1.393180246,0.186761229,1.07,,1,0.262511744,,,,,,,,0.863097757,20.59136725,22.56671628,124.5536258,182.2372286,41.01680988,.,239.9933215,1723.183396,,,196944,KS-153-SW-102-3-10_21-2018
