Bulk_Density,POX_C,ACE,Bglucosidase,Bglucosaminidase,Alkaline Phosphatase,Acid Phosphatase
2.003472739,716.0080713,2470.90545,172.5355872,82.44680851,238.6170213,147.0066519
1.282731577,148.9040255,1308.684554,25.15057723,14.51749746,178.8526434,23.36028751
1.153210429,747.5916346,7119.717944,261.0787549,219.9274248,175.3465823,1002.843167
0.99,331.1,10374.5,20.69785415,26.14414693,85.04612597,6.133120708
0.788611771,127.1010896,1467.811982,19.62347878,24.38382891,84.45427769,109.8422912
1.396568524,253.8796731,2429.992258,25.04634709,28.59037108,59.72309711,143.0551565
1.54,71.8,1328.9,95.97687519,120.1159864,-1.594174065,6.330743988
0.859426784,437.8208059,4941.806525,160.5537485,79.3393106,58.14359576,343.9442947
1.268092989,457.86521,6807.891767,78.88579999,101.532134,25.57346289,244.8173586
1.313456054,198.6127527,1174.103355,18.36406873,31.16804689,154.015748,118.3637985
1.27,175.0,8364.1,22.52255252,0.78935573,18.40674838,27.10484996
0.99,3.8,1374.4,55.27303375,16.62875734,41.7123961,9.108836583
1.03,1.3,1246.6,109.0248151,12.28768163,3.377892903,68.06414186
1.274231752,403.9150932,4294.68877,80.70117205,98.74917474,198.1310055,747.600303
1.403438092,124.881878,1083.677601,19.62190038,11.27612866,93.9339485,23.23641636
0.88,14.0,1347.5,13.23454594,25.33187286,22.36742352,2.949039764
1.237691498,121.6948418,962.5317987,25.31145167,26.34555018,138.7761425,56.79095538
1.251321012,232.0985398,2638.7949,75.76881393,75.00412915,137.1142391,338.3040266
0.71,1.0,3069.8,17.60542792,160.5168483,0.241063132,8.820383682
2.151724305,715.9573909,3573.388969,85.58718861,71.9858156,123.3687943,98.60310421
1.728574258,715.5688409,8457.7722,262.5088968,72.5177305,276.9148936,168.3148559
1.404899702,322.3739195,4857.20799,54.25779631,34.10624941,37.06080922,254.1917211
1.274615425,103.7889725,1126.234542,18.7356544,19.8454073,141.0852786,80.7396573
0.51,224.9,5716.0,26.66499426,46.26058723,2.676721994,96.84619903
1.21216204,90.96712665,863.1358592,15.81395693,4.739755342,48.89122845,24.39809104
2.096055443,716.4641952,6268.824708,45.55160142,61.61347518,101.7730496,70.18107908
0.6,0.0,1097.6,72.3690014,142.4519305,20.93613694,9.290930669
1.14,0.0,4834.5,28.35701231,84.32059384,17.53233896,16.02349034
1.31,48.9,2647.2,1115.4805,1401.948786,1401.948786,467.9849633
1.15759526,496.4943717,6921.658641,155.0866904,86.92131012,48.43884409,431.7322695
1.06,22.4,1622.3,11.47664837,72.84909403,2.336115954,5.333570029
1.366367923,717.4476589,9318.012124,404.1992883,109.929078,254.5744681,240.1256467
0.89,134.3,13079.9,14.5233914,27.81865718,1.841438264,3.801179775
1.16,0.0,837.0,66.29260938,55.84946644,64.22085561,7.357218851
0.65,428.1,2464.9,50.99387241,0.322464085,10.66122026,44.79238596
0.87,152.0,4241.6,30.3239794,76.0060321,-0.136368262,15.03256938
1.706353197,713.8625997,144.047296,14.0569395,8.776595745,16.63120567,66.28233555
2.060040953,714.369404,2112.862242,15.39145907,22.60638298,115.212766,21.2158167
1.281685964,62.68097397,847.6921326,7.189494895,6.242991537,74.19698038,42.35456771
1.16,364.7,8374.2,14.67848866,2.338849856,16.43005752,81.41290222
1.259323328,275.9614522,4076.962933,42.53377836,17.78599242,28.27123586,182.0782056
1.31662969,70.47508021,1019.076138,5.006215376,35.32231314,120.2256767,55.88229417
1.268902496,94.21517525,1096.242164,15.63314413,10.48429377,133.3242375,49.82913173
1.520005495,716.7344908,8926.346696,200.5871886,119.9468085,199.964539,144.2461197
1.096207632,99.08920949,749.6632327,9.710692727,7.066219125,40.98688045,10.66396711
1.22,9.8,528.3,27.11186759,63.74230198,5.653085058,4.315137161
1.201212785,115.3186824,860.0850205,17.62042854,13.96485641,69.84655764,19.91162895
0.96,0.0,716.7,19.00675299,7.084135065,-1.110981333,5.879156761
1.372451956,158.895788,874.6806081,25.62578404,12.02704778,125.6835009,77.5241148
1.210213226,296.5281648,2692.065224,93.84788239,51.15994573,69.70855232,240.6402193
1.242880214,298.4860383,2342.738904,23.31934235,65.43362351,155.1086748,429.7564888
1.31531708,718.1704364,5674.20188,410.9074733,215.035461,1563.191489,252.5609756
1.292306998,49.39116857,834.0084703,6.444667771,24.02361373,84.09200286,11.47326916
1.07,369.2,6490.6,49.55931496,-0.049707725,13.50164001,3.232268081
1.297544434,18.46694052,484.7605994,4.336123558,6.612205614,31.80558428,5.292864033
1.12,280.8,-212.0,50.35545288,2.521850481,75.47523771,158.547201
2.212873793,716.2107931,3571.306257,153.9145907,63.20921986,162.7304965,154.9667406
1.290236383,209.1200042,1365.692195,29.53778771,39.66641461,152.1505774,178.5233439
1.287678566,110.7485733,1047.286371,16.42682371,7.878261069,85.2971646,13.5858194
0.917306547,273.9357388,2664.869728,347.6057688,239.9034778,85.79000581,240.2602902
1.017617978,39.40372321,630.6179301,10.24552076,3.365504235,67.64759085,33.03933695
1.15,6.2,1466.6,20.79241748,63.18456711,3.397212587,13.55952291
1.18,264.7,6852.7,19.44493347,56.27711842,20.96794069,63.26379018
1.199981955,129.7804167,1112.942342,14.88197802,18.46215057,140.1006918,106.6448883
1.722511213,716.7967263,4257.333844,194.5373665,80.23049645,129.5212766,134.063643
1.177640199,127.002079,902.5804776,12.4936808,11.00243535,77.69557498,17.03875375
